document_id,position_id,page_or_sheet,work_description,unit,quantity,unit_price,norm_ref
EST-02,1,Смета A,Укладка кабельной силовой линии по лоткам,метров,162,2320,EL-CABLE-POWER
EST-02,2,Смета A,Прокладка волоконно-оптической линии в помещении,м,300,940,EL-CABLE-OPTIC
EST-02,3,Смета A,Еденге бетон тегістеу қабатын жасау,кв.м,240,4050,FIN-SCREED
EST-02,4,Смета A,Металл құрылымдарды сырлау,м2,180,3100,FIN-PAINT-METAL
EST-02,5,Смета B,Жылыту радиаторларын орнату,дана,24,38200,HVAC-RADIATOR
EST-02,6,Смета B,Монтаж LED светильников потолочных,штук,48,12850,EL-LIGHT
EST-02,7,Смета B,Устройство кирпичных наружных стен,м2,420,11200,STR-WALL-BRICK
EST-02,8,Смета B,Обмазочная гидроизоляция санузлов,м2,95,4150,FIN-WATERPROOF
EST-02,9,Смета C,Монтаж круглых вентиляционных воздуховодов,м,260,5400,HVAC-DUCT-ROUND
EST-02,10,Смета C,Установка деревянных межкомнатных дверей,шт,18,76000,FIN-DOOR-WOOD
EST-02,11,Смета C,Обратная засыпка траншей местным грунтом,м3,210,1750,EARTH-BACKFILL
EST-02,12,Смета C,Прокладка трубопровода горячего водоснабжения,м,175,4900,PL-WATER-HOT
EST-02,13,Смета D,Монтаж ручных пожарных извещателей,шт,14,19300,FIRE-DETECTOR-MANUAL
EST-02,14,Смета D,Асфальтобетонное покрытие проезда,м2,650,6750,ROAD-ASPHALT
EST-02,15,Смета D,Укладка тротуарной плитки,м2,390,9100,ROAD-PAVER
EST-02,16,Смета D,Монтаж шкафа автоматики вентиляции,шт,2,348000,EL-AUTO-PANEL
EST-02,17,Смета E,Финишная шпаклёвка потолков,м2,610,3200,FIN-PUTTY
EST-02,18,Смета E,Облицовка стен керамогранитом,м2,205,10500,FIN-PORCELAIN
EST-02,19,Смета E,Монтаж снегозадержателей на кровле,м,95,6800,ROOF-SNOW
EST-02,20,Смета E,Пароизоляция кровельного пирога,м2,520,1850,ROOF-VAPOR
EST-02,21,Смета F,Ручная доработка грунта в котловане,м3,125,6800,EARTH-MANUAL
EST-02,22,Смета F,Прокладка слаботочного кабеля сигнализации,м,340,1150,EL-CABLE-LOW
EST-02,23,Смета F,Установка обратных клапанов вентиляции,шт,16,24800,HVAC-VALVE
EST-02,24,Смета F,Вывоз строительных отходов на полигон,т,68,7200,LOG-WASTE-HAUL

